time index;Blockage Counter;Overtravel Counter;Internal Error Counter;Over Voltage Counter;Under Voltage Counter;Over Temperature Counter;Cycle Count;CPDMRptdMvmt
1765444627700;0;0;0;0;0;0;86;1
1765444628731;0;0;0;0;0;0;87;1
1765444629231;0;0;0;0;0;0;87;0
1765444634271;0;0;0;0;0;0;87;1
1765444634631;0;0;0;0;0;0;87;0
1765444641200;0;0;0;0;0;0;87;1
1765444642231;0;0;0;0;0;0;88;1
1765444642731;0;0;0;0;0;0;88;0
1765444647771;0;0;0;0;0;0;88;1
1765444648131;0;0;0;0;0;0;88;0
1765444654701;0;0;0;0;0;0;88;1
1765444655711;0;0;0;0;0;0;89;1
1765444656231;0;0;0;0;0;0;89;0
1765444661271;0;0;0;0;0;0;89;1
1765444661631;0;0;0;0;0;0;89;0
1765444668201;0;0;0;0;0;0;89;1
1765444669231;0;0;0;0;0;0;90;1
1765444669751;0;0;0;0;0;0;90;0
1765444674791;0;0;0;0;0;0;90;1
1765444675151;0;0;0;0;0;0;90;0
1765444681702;0;0;0;0;0;0;90;1
1765444682751;0;0;0;0;0;0;91;1
1765444683251;0;0;0;0;0;0;91;0
1765444688291;0;0;0;0;0;0;91;1
1765444688651;0;0;0;0;0;0;91;0
1765444695202;0;0;0;0;0;0;91;1
1765444696231;0;0;0;0;0;0;92;1
1765444696751;0;0;0;0;0;0;92;0
1765444701791;0;0;0;0;0;0;92;1
1765444702171;0;0;0;0;0;0;92;0
1765444708703;0;0;0;0;0;0;92;1
1765444709751;0;0;0;0;0;0;93;1
1765444710251;0;0;0;0;0;0;93;0
1765444715291;0;0;0;0;0;0;93;1
1765444715651;0;0;0;0;0;0;93;0
1765444722203;0;0;0;0;0;0;93;1
1765444723231;0;0;0;0;0;0;94;1
1765444723751;0;0;0;0;0;0;94;0
1765444728791;0;0;0;0;0;0;94;1
1765444729151;0;0;0;0;0;0;94;0
1765444735704;0;0;0;0;0;0;94;1
1765444736831;0;0;0;0;0;0;95;1
